   inc   age18   age19   age20   age21   age22
1  400 -0.0520 -0.0388 -0.0385 -0.0434 -0.0420
2  400  0.0272  0.0172  0.0187  0.0198  0.0166
3  400 -1.9097 -2.2556 -2.0597 -2.1958 -2.5319
4  425 -0.0545 -0.0451 -0.0499 -0.0418 -0.0386
5  425  0.0224  0.0183  0.0167  0.0198  0.0211
6  425 -2.4339 -2.4608 -2.9948 -2.1114 -1.8343
7  450 -0.0545 -0.0525 -0.0477 -0.0415 -0.0387
8  450  0.0226  0.0227  0.0145  0.0225  0.0207
9  450 -2.4052 -2.3123 -3.2856 -1.8426 -1.8709
10 475 -0.0620 -0.0369 -0.0405 -0.0380 -0.0377
11 475  0.0252  0.0160  0.0184  0.0188  0.0182
12 475 -2.4595 -2.2982 -2.2045 -2.0196 -2.0761
13 500 -0.0396 -0.0296 -0.0424 -0.0396 -0.0350
14 500  0.0236  0.0140  0.0220  0.0284  0.0212
15 500 -1.6814 -2.1104 -1.9264 -1.3955 -1.6477
