   inc  age18  age19  age20  age21  age22
1  400 -2.281 -1.569 -1.572 -1.566 -1.376
2  400  1.848  1.276  1.282  1.467  1.430
3  400 -1.235 -1.230 -1.226 -1.068 -0.963
4  425 -2.692 -2.014 -2.221 -1.398 -1.263
5  425  1.488  1.697  1.233  1.581  1.103
6  425 -1.809 -1.187 -1.802 -0.884 -1.145
7  450 -2.693 -2.419 -2.253 -1.256 -1.268
8  450  1.475  1.597  1.844  1.356  1.073
9  450 -1.825 -1.515 -1.222 -0.926 -1.182
10 475 -3.384 -1.379 -1.817 -1.143 -1.260
11 475  2.009  1.566  1.503  0.999  1.182
12 475 -1.685 -0.881 -1.209 -1.143 -1.066
13 500 -1.241 -0.739 -2.138 -1.546 -1.453
14 500  1.273  1.445  1.252  1.814  1.282
15 500 -0.975 -0.512 -1.707 -0.853 -1.134
