   inc age18 age19 age20 age21 age22
1  400 1.626 1.445 1.424 2.705 2.587
2  400 2.758 2.925 2.883 2.179 1.466
3  400 0.589 0.494 0.494 1.242 1.765
4  425 2.286 1.068 1.984 3.255 2.224
5  425 1.962 2.249 1.730 1.834 1.874
6  425 1.165 0.475 1.147 1.775 1.187
7  450 2.293 2.062 1.559 2.342 2.232
8  450 2.022 2.327 1.515 2.366 1.894
9  450 1.134 0.886 1.029 0.990 1.179
10 475 1.442 1.042 0.901 2.480 2.146
11 475 2.881 2.886 1.628 2.072 1.833
12 475 0.501 0.361 0.553 1.197 1.171
13 500 1.572 1.118 0.759 0.657 1.197
14 500 1.991 2.483 2.209 1.810 1.608
15 500 0.789 0.450 0.343 0.363 0.745
