   inc   age73   age74   age75   age76   age77
1  400 -0.0340 -0.0356 -0.0361 -0.0359 -0.0247
2  400  0.0226  0.0193  0.0184  0.0199  0.0205
3  400 -1.5043 -1.8458 -1.9601 -1.8088 -1.2011
4  425 -0.0359 -0.0364 -0.0370 -0.0367 -0.0253
5  425  0.0160  0.0199  0.0188  0.0200  0.0186
6  425 -2.2455 -1.8322 -1.9678 -1.8318 -1.3609
7  450 -0.0359 -0.0365 -0.0370 -0.0367 -0.0253
8  450  0.0156  0.0197  0.0187  0.0200  0.0184
9  450 -2.3048 -1.8545 -1.9835 -1.8352 -1.3726
10 475 -0.0366 -0.0373 -0.0378 -0.0376 -0.0256
11 475  0.0142  0.0176  0.0167  0.0183  0.0175
12 475 -2.5722 -2.1206 -2.2615 -2.0568 -1.4640
13 500 -0.0369 -0.0376 -0.0381 -0.0379 -0.0369
14 500  0.0156  0.0178  0.0166  0.0182  0.0197
15 500 -2.3573 -2.1068 -2.2942 -2.0887 -1.8723
