   inc  age73  age74  age75  age76  age77
1  400 -0.850 -1.204 -1.436 -1.529 -0.985
2  400  1.258  1.616  1.791  1.642  1.585
3  400 -0.676 -0.745 -0.802 -0.931 -0.622
4  425 -0.840 -1.209 -1.445 -1.543 -1.004
5  425  1.693  1.553  1.753  1.582  1.550
6  425 -0.496 -0.779 -0.825 -0.975 -0.648
7  450 -0.831 -1.206 -1.442 -1.540 -0.998
8  450  1.671  1.546  1.742  1.573  1.546
9  450 -0.498 -0.780 -0.828 -0.979 -0.645
10 475 -0.786 -1.212 -1.452 -1.551 -0.993
11 475  1.410  1.316  1.555  1.369  1.299
12 475 -0.558 -0.921 -0.933 -1.132 -0.765
13 500 -0.778 -1.203 -1.440 -1.537 -1.540
14 500  1.420  1.360  1.601  1.411  1.537
15 500 -0.548 -0.884 -0.899 -1.090 -1.002
