   inc age73 age74 age75 age76 age77
1  400 4.971 6.238 6.195 6.221 3.822
2  400 4.102 2.828 2.887 2.895 3.701
3  400 1.212 2.205 2.146 2.149 1.033
4  425 5.834 6.375 6.318 6.350 3.932
5  425 3.266 2.804 2.874 2.954 3.893
6  425 1.786 2.274 2.198 2.150 1.010
7  450 5.856 6.376 6.319 6.351 3.928
8  450 3.344 2.817 2.888 2.981 3.916
9  450 1.751 2.263 2.188 2.131 1.003
10 475 6.020 6.517 6.461 6.488 4.022
11 475 3.538 2.535 2.695 2.767 3.704
12 475 1.702 2.570 2.397 2.345 1.086
13 500 6.200 6.701 6.646 6.668 6.372
14 500 3.741 3.209 3.321 3.234 2.715
15 500 1.657 2.088 2.001 2.062 2.347
